Article,Sex,Age,Injury,BCI_Type
A1 (fnins-17-1243151.pdf - Li et al.),Unspecified,Not Reported,Stroke,N/A
A2 (s12883-020-01826-w.pdf - Mattia et al.),Unspecified,18-35,Stroke,EEG
A2 (s12883-020-01826-w.pdf - Mattia et al.),Unspecified,36-55,Stroke,EEG
A2 (s12883-020-01826-w.pdf - Mattia et al.),Unspecified,56+,Stroke,EEG
A3 (1-s2.0-S1388...main.pdf - Vuckovic et al.),Mixed,18-35,SCI,EEG
A3 (1-s2.0-S1388...main.pdf - Vuckovic et al.),Mixed,36-55,SCI,EEG
A4 (awx274.pdf - Bruurmijn et al.),Mixed,18-35,Amputation,fMRI
A4 (awx274.pdf - Bruurmijn et al.),Mixed,36-55,Amputation,fMRI
A4 (awx274.pdf - Bruurmijn et al.),Mixed,56+,Amputation,fMRI
A5 (fnins-16-867480 (1).pdf - Zhang & Koike),Mixed,18-35,Healthy,EEG
A6 (fnins-16-1097660.pdf - Li et al.),Unspecified,Not Reported,SCI,EEG
A7 (j.bandc.2018.07.006.pdf - Wriessnegger et al.),Mixed,18-35,Healthy,fNIRS
A8 (jnp.12098.pdf - Scandola et al.),Mixed,18-35,SCI,N/A
A8 (jnp.12098.pdf - Scandola et al.),Mixed,36-55,SCI,N/A
A8 (jnp.12098.pdf - Scandola et al.),Mixed,56+,SCI,N/A
A9 (journal.pone.0206464.pdf - Shokur et al.),Mixed,18-35,SCI,EEG
A9 (journal.pone.0206464.pdf - Shokur et al.),Mixed,36-55,SCI,EEG
A10 (Khanametal.pdf - Siuly et al.),Unspecified,Not Reported,Healthy,EEG
A11 (Mon_12_2.pdf - Walter et al.),Male,56+,Amputation,ECoG
A11 (Mon_12_2.pdf - Walter et al.),Male,56+,Stroke,ECoG
A12 (NPT.0000000000000063.pdf - Vuckovic et al.),Male,18-35,SCI,EEG
A12 (NPT.0000000000000063.pdf - Vuckovic et al.),Male,36-55,SCI,EEG
A13 (Osuagwu_2016...065002.pdf - Osuagwu et al.),Male,18-35,SCI,EEG
A13 (Osuagwu_2016...065002.pdf - Osuagwu et al.),Male,36-55,SCI,EEG
A13 (Osuagwu_2016...065002.pdf - Osuagwu et al.),Male,56+,SCI,EEG
A14 (oti.1422.pdf - Jang et al.),Mixed,36-55,Stroke,EEG
A14 (oti.1422.pdf - Jang et al.),Mixed,56+,Stroke,EEG
A15 (s12883-023-03442-w.pdf - Colamarino et al.),Unspecified,18-35,SCI,EEG
A15 (s12883-023-03442-w.pdf - Colamarino et al.),Unspecified,36-55,SCI,EEG
A15 (s12883-023-03442-w.pdf - Colamarino et al.),Unspecified,56+,SCI,EEG
A16 (s41598-020-62525-7.pdf - Tayeb et al.),Male,18-35,Amputation,EEG
A17 (S0129065717500265.pdf - Leite et al.),Mixed,18-35,Healthy,EEG
A18 (sc.2014.230.pdf - Salisbury et al.),Male,18-35,SCI,EEG
A19 (srep30383.pdf - Donati et al.),Mixed,18-35,SCI,EEG
A19 (srep30383.pdf - Donati et al.),Mixed,36-55,SCI,EEG
A20 (toh.2021.3072615.pdf - Deo et al.),Male,56+,SCI,iBCI (Intracortical)
A20 (toh.2021.3072615.pdf - Deo et al.),Mixed,18-35,Healthy,iBCI (Intracortical)
