Authors,Title,Year,Source title,Cited by,DOI Link,Authors with affiliations,Author Keywords,Index Keywords
Subramanian A.; Shamsi F.; Najafizadeh L.,On the Reliability of Frequency-Domain Features for fNIRS BCIs in the Presence of Pain,2021,"2021 IEEE Signal Processing in Medicine and Biology Symposium, SPMB 2021 - Proceedings",5,https://www.scopus.com/pages/publications/85125332106?origin=resultslist,"Subramanian A., Rutgers University, Department of Electrical and Computer Engineering, Piscataway, NJ, United States; Shamsi F., Northeastern University, Department of Psychology, Boston, MA, United States; Najafizadeh L., Rutgers University, Department of Electrical and Computer Engineering, Piscataway, NJ, United States",,Brain computer interface; Calculations; Classification (of information); Health; Infrared devices; Near infrared spectroscopy; Support vector machines; Arithmetic tasks; Classification accuracy; Domain feature; Frequency domains; Frequency-domain parameters; Functional near infrared spectroscopy; Infrared spectroscopy signals; Mental arithmetic; Motor-cortex; Prefrontal cortex; Frequency domain analysis
Dobkin B.H.; Dorsch A.,New evidence for therapies in stroke rehabilitation topical collection on cardiovascular disease and stroke,2013,Current Atherosclerosis Reports,113,https://www.scopus.com/pages/publications/84996484006?origin=resultslist,"Dobkin B.H., Department of Neurology, Geffen School of Medicine, University of California Los Angeles, Los Angeles, CA, United States; Dorsch A., Department of Neurology, Geffen School of Medicine, University of California Los Angeles, Los Angeles, CA, United States",Clinical trials; Functional outcomes; Neuroplasticity; Physical therapy; Robotics; Stroke rehabilitation,Activities of Daily Living; Clinical Trials as Topic; Electric Stimulation Therapy; Exercise Therapy; Humans; Neuromuscular Agents; Neuronal Plasticity; Orthopedic Equipment; Physical Therapy Modalities; Recovery of Function; Robotics; Stroke; amphetamine; antiinflammatory agent; baclofen; botulinum toxin; etanercept; fluoxetine; memantine; ropinirole; rotigotine; tizanidine; muscle relaxant agent; acupuncture; aphasia; arm movement; article; attention disturbance; balance training; body weight supported treadmill training; brain computer interface; cerebrovascular accident; clinical trial (topic); cognitive rehabilitation; communication software; computer based compensatory therapy; computer program; constraint induced therapy; daily life activity; disability; evidence based medicine; fitness; functional assessment; functional electrical stimulation; grip strength; hemianopia; hemiparesis; hemispatial neglect; human; hyperbaric oxygen; independent living; locked in syndrome; medical education; motor control; movement therapy; muscle strength; muscle training; nerve cell plasticity; nerve stimulation; nervous system; neurologic disease; neuromuscular function; nonhuman; outcome assessment; over ground gait training; paresis; patient participation; physiotherapy; psoriatic arthritis; rehabilitation care; rehabilitation equipment; rheumatoid arthritis; robotic gait assist device; self care; shoulder pain; spasticity; speech therapy; stem cell transplantation; survivor; transcranial direct current stimulation; treatment duration; virtual reality; visual field defect; walking; convalescence; electrotherapy; kinesiotherapy; nerve cell plasticity; orthopedic equipment; physiotherapy; procedures; robotics; Stroke
Rao S.; Chiao J.-C.,Body electric: Wireless power transfer for implant applications,2015,IEEE Microwave Magazine,69,https://www.scopus.com/pages/publications/84923164531?origin=resultslist,"Rao S., Department of Electrical Engineering, University of Texas at Arlington, United States; Chiao J.-C., Department of Electrical Engineering, University of Texas at Arlington, United States",,Audition; Brain computer interface; Cells; Cochlear implants; Disease control; Electroencephalography; Electrophysiology; Energy transfer; Histology; Inductive power transmission; Interfaces (computer); Medical computing; Muscle; Neurology; Neurons; Pacemakers; Restoration; Surgery; Central nervous systems; Deep brain stimulation; Electrical activities; Electrical stimulations; Evoked potential response; Parkinson's disease; Physiological functions; Wireless power transfer; Brain
Yanagisawa T.; Fukuma R.; Seymour B.; Tanaka M.; Hosomi K.; Yamashita O.; Kishima H.; Kamitani Y.; Saitoh Y.,BCI training to move a virtual hand reduces phantom limb pain: A randomized crossover trial,2020,Neurology,24,https://www.scopus.com/pages/publications/85088847532?origin=resultslist,"Yanagisawa T., Institute for Advanced Co-Creation Studies, Osaka University, Japan, Department of Neurosurgery, Osaka University Graduate School of Medicine, Japan, Department of Neuroinformatics, Atr Computational Neuroscience Laboratories, Kyoto, Japan; Fukuma R., Institute for Advanced Co-Creation Studies, Osaka University, Japan, Department of Neuroinformatics, Atr Computational Neuroscience Laboratories, Kyoto, Japan; Seymour B., Computational and Biological Learning Laboratory, Department of Engineering, University of Cambridge, United Kingdom, Center for Information and Neural Networks, National Institute for Information and Communications Technology, Osaka, Japan; Tanaka M., Institute for Advanced Co-Creation Studies, Osaka University, Japan; Hosomi K., Institute for Advanced Co-Creation Studies, Osaka University, Japan, Department of Neuromodulation and Neurosurgery, Osaka University Graduate School of Medicine, Japan; Yamashita O., Riken Center for Advanced Intelligence Project, Tokyo, Japan, Department of Computational Brain Imaging, Atr Neural Information Analysis Laboratories, Kyoto, Japan; Kishima H., Institute for Advanced Co-Creation Studies, Osaka University, Japan; Kamitani Y., Graduate School of Informatics, Kyoto University, Japan; Saitoh Y., Institute for Advanced Co-Creation Studies, Osaka University, Japan, Department of Neuromodulation and Neurosurgery, Osaka University Graduate School of Medicine, Japan, Department of Neuroinformatics, Atr Computational Neuroscience Laboratories, Kyoto, Japan",,Adult; Aged; Brain-Computer Interfaces; Cross-Over Studies; Hand; Humans; Imagination; Magnetoencephalography; Male; Middle Aged; Motor Cortex; Movement; Phantom Limb; Robotics; adult; aged; analgesia; arm amputation; arm pain; Article; avulsion injury; brachial plexus injury; chronic pain; clinical article; controlled study; crossover procedure; follow up; hand movement; human; magnetoencephalography; male; middle aged; motor cortex; phantom pain; priority journal; randomized controlled trial; single blind procedure; virtual reality; visual analog scale; brain computer interface; hand; imagination; movement (physiology); pathophysiology; phantom limb; physiology; robotics
Zhang J.-G.; Xie H.-T.; Yang A.-C.,Neuromodulation: clinical advances and future perspectives; [神 经 调 控 技 术 临 床 应 用 进 展 与 展 望],2025,Chinese Journal of Contemporary Neurology and Neurosurgery,4,https://www.scopus.com/pages/publications/85217231419?origin=resultslist,"Zhang J.-G., Center of Neurosurgery, Beijing Tiantan Hospital, Beijing Neurosurgical Institute, Beijing Key Laboratory of Neurostimulation, Capital Medical University, Beijing, 100070, China, National Engineering Research Center for Neuromodulation, Beijing, 100084, China; Xie H.-T., Center of Neurosurgery, Beijing Tiantan Hospital, Beijing Neurosurgical Institute, Beijing Key Laboratory of Neurostimulation, Capital Medical University, Beijing, 100070, China, National Engineering Research Center for Neuromodulation, Beijing, 100084, China; Yang A.-C., Center of Neurosurgery, Beijing Tiantan Hospital, Beijing Neurosurgical Institute, Beijing Key Laboratory of Neurostimulation, Capital Medical University, Beijing, 100070, China, National Engineering Research Center for Neuromodulation, Beijing, 100084, China",Neuromodulation (not in MeSH); Neurosurgery; Review,Article; Chinese; clinical effectiveness; clinical practice; cognitive defect; epilepsy; medical research; medical technology; motor dysfunction; neuromodulation; neurorehabilitation; pain
Correa-Agudelo E.; Hernández A.M.; Ferrin C.; Gomez J.D.,ViLimbs: Improving phantom limb treatment through multisensory feedback,2015,Conference on Human Factors in Computing Systems - Proceedings,7,https://www.scopus.com/pages/publications/84954226234?origin=resultslist,"Correa-Agudelo E., Center for Bioinformatics and Computational Biology, Manizales, Colombia; Hernández A.M., Center for Bioinformatics and Computational Biology, Manizales, Colombia; Ferrin C., Center for Bioinformatics and Computational Biology, Manizales, Colombia; Gomez J.D., Center for Bioinformatics and Computational Biology, Manizales, Colombia",Augmented reality; Computer vision; Multisensory feedback; Myoelectric signals; Neurorehabilitation; Phantom limb pain,Artificial limbs; Augmented reality; Brain computer interface; Computer vision; Human computer interaction; Human engineering; Interfaces (computer); Medical computing; Patient treatment; Virtual reality; Anti personnel mines; Mirror therapies; Multi-sensory feedback; Myoelectric signals; Neurorehabilitation; Phantom limb pains; Rehabilitation strategy; Voluntary movement; Patient rehabilitation
Gharabaghi A.; Naros G.; Walter A.; Grimm F.; Schuermeyer M.; Roth A.; Bogdan M.; Rosenstiel W.; Birbaumer N.,From assistance towards restoration with epidural brain-computer interfacing,2014,Restorative Neurology and Neuroscience,34,https://www.scopus.com/pages/publications/84923224567?origin=resultslist,"Gharabaghi A., Division of Functional and Restorative Neurosurgery, Division of Translational Neurosurgery, Department of Neurosurgery Eberhard Karls University, Otfried-Mueller-Str. 45, Tuebingen, 72076, Germany, Neuroprosthetics Research Group, Werner Reichardt Centre for Integrative Neuroscience, Eberhard Karls University Tuebingen, Tuebingen, Germany; Naros G., Division of Functional and Restorative Neurosurgery, Division of Translational Neurosurgery, Department of Neurosurgery Eberhard Karls University, Otfried-Mueller-Str. 45, Tuebingen, 72076, Germany, Neuroprosthetics Research Group, Werner Reichardt Centre for Integrative Neuroscience, Eberhard Karls University Tuebingen, Tuebingen, Germany; Walter A., Department of Computer Engineering, Wilhelm-Schickard Institute for Computer Science, Eberhard Karls University Tuebingen, Tuebingen, Germany; Grimm F., Division of Functional and Restorative Neurosurgery, Division of Translational Neurosurgery, Department of Neurosurgery Eberhard Karls University, Otfried-Mueller-Str. 45, Tuebingen, 72076, Germany, Neuroprosthetics Research Group, Werner Reichardt Centre for Integrative Neuroscience, Eberhard Karls University Tuebingen, Tuebingen, Germany; Schuermeyer M., Division of Functional and Restorative Neurosurgery, Division of Translational Neurosurgery, Department of Neurosurgery Eberhard Karls University, Otfried-Mueller-Str. 45, Tuebingen, 72076, Germany, Neuroprosthetics Research Group, Werner Reichardt Centre for Integrative Neuroscience, Eberhard Karls University Tuebingen, Tuebingen, Germany; Roth A., Department of Computer Engineering, Wilhelm-Schickard Institute for Computer Science, Eberhard Karls University Tuebingen, Tuebingen, Germany; Bogdan M., Department of Computer Engineering, Wilhelm-Schickard Institute for Computer Science, Eberhard Karls University Tuebingen, Tuebingen, Germany, Department of Computer Engineering, University of Leipzig, Leipzig, Germany; Rosenstiel W., Department of Computer Engineering, Wilhelm-Schickard Institute for Computer Science, Eberhard Karls University Tuebingen, Tuebingen, Germany; Birbaumer N., Institute for Medical Psychology and Behavioural Neurobiology, Eberhard Karls, University Tuebingen, Tuebingen, Germany",brain-computer interface; brain-machine interface; Electrocorticography; epidural implant; neuroprosthetics; neurorehabilitation; stroke,Aged; Brain; Electroencephalography; Epidural Space; Humans; Magnetic Resonance Imaging; Male; Movement; Movement Disorders; Neurofeedback; Prostheses and Implants; Stroke; User-Computer Interface; aged; arm pain; Article; beta rhythm; brain computer interface; brain hemorrhage; case report; electric potential; electrocorticography; electrode implant; electroencephalogram; electroencephalograph; epidural implant; face pain; gamma rhythm; hand pain; hemiparesis; human; intractable pain; learning; male; motor control; motor cortex; motor dysfunction; muscle tone; neurofeedback; oscillation; priority journal; pyramidal tract; somatosensory cortex; thalamus; brain; cerebrovascular accident; complication; computer interface; electroencephalography; epidural space; movement (physiology); Movement Disorders; neurofeedback; nuclear magnetic resonance imaging; pathology; physiology; procedures; prostheses and orthoses
Xu R.; Jiang N.; Vuckovic A.; Hasan M.; Mrachacz-Kersting N.; Allan D.; Fraser M.; Nasseroleslami B.; Conway B.; Dremstrup K.; Farina D.,Movement-related cortical potentials in paraplegic patients: Abnormal patterns and considerations for BCI-rehabilitation,2014,Frontiers in Neuroengineering,35,https://www.scopus.com/pages/publications/84909985109?origin=resultslist,"Xu R., Department of Neurorehabilitation Engineering, University Medical Center Goettingen, Goettingen, Germany, Institute of Computer Science, Georg-August University, Goettingen, Germany; Jiang N., Department of Neurorehabilitation Engineering, University Medical Center Goettingen, Goettingen, Germany; Vuckovic A., School of Engineering, University of Glasgow, Glasgow, United Kingdom; Hasan M., School of Engineering, University of Glasgow, Glasgow, United Kingdom, Department of Biomedical Engineering, NED University of Engineering and Technology, Karachi, Pakistan; Mrachacz-Kersting N., Center for Sensory-Motor Interaction, Aalborg University, Aalborg, Denmark; Allan D., Queen Elizabeth National Spinal Injury Unit, Southern General Hospital, Glasgow, United Kingdom; Fraser M., Queen Elizabeth National Spinal Injury Unit, Southern General Hospital, Glasgow, United Kingdom; Nasseroleslami B., Department of Biomedical Engineering, University of Strathclyde, Glasgow, United Kingdom, Academic Unit of Neurology, Trinity College Dublin, Dublin, Ireland; Conway B., Department of Biomedical Engineering, University of Strathclyde, Glasgow, United Kingdom; Dremstrup K., Center for Sensory-Motor Interaction, Aalborg University, Aalborg, Denmark; Farina D., Department of Neurorehabilitation Engineering, University Medical Center Goettingen, Goettingen, Germany",BCI; Central neuropathic pain; EEG; Movement related cortical potentials; Spinal cord injury,adult; article; brain computer interface; brain electrophysiology; clinical article; controlled study; electroencephalogram; foot; hand; human; mental function; mental imagery; movement related cortical potential; neuropathic pain; paraplegia; rehabilitation; sensorimotor integration; task performance
Meneses-Claudio B.; Roman-Gonzalez A.,Study of the Brain Waves for the identification of the Basic Needs of Patients with Amyotrophic Lateral Sclerosis,2018,"Congreso Argentino de Ciencias de la Informatica y Desarrollos de Investigacion, CACIDI 2018",2,https://www.scopus.com/pages/publications/85060691690?origin=resultslist,"Meneses-Claudio B., Image Processing Research Laboratory (INTI-Lab), Universidad de Ciencias y Humanidades, Lima, Peru; Roman-Gonzalez A., Image Processing Research Laboratory (INTI-Lab), Universidad de Ciencias y Humanidades, Lima, Peru",ALS (Amyotrophic Lateral Sclerosis).; Basic Needs; BCI; Brainwaves; Cyton Board; Deisy Board; OpenBCI,Brain computer interface; MATLAB; Neurons; Amyotrophic lateral sclerosis; Basic Needs; Brain wave; Cyton Board; Deisy Board; OpenBCI; Neurodegenerative diseases
Takeuchi N.; Izumi S.-I.; Ota J.; Ueda J.,Neural Plasticity on Body Representations: Advancing Translational Rehabilitation,2016,Neural Plasticity,7,https://www.scopus.com/pages/publications/84991325511?origin=resultslist,"Takeuchi N., Department of Physical Medicine and Rehabilitation, Tohoku University Graduate School of Medicine, 2-1 Seiryo-cho, Aoba-ku, Sendai, 980-8575, Japan; Izumi S.-I., Department of Physical Medicine and Rehabilitation, Tohoku University Graduate School of Medicine, 2-1 Seiryo-cho, Aoba-ku, Sendai, 980-8575, Japan; Ota J., Research into Artifacts, Center for Engineering (RACE), University of Tokyo, 5-1-5 Kashiwa, Chiba, 277-8568, Japan; Ueda J., George W. Woodruff School of Mechanical Engineering, Georgia Institute of Technology, 771 Ferst Drive, Atlanta, 30332-0405, GA, United States",,Body Image; Electric Stimulation Therapy; Humans; Motor Cortex; Neuronal Plasticity; Phantom Limb; body image; brain computer interface; brain depth stimulation; Editorial; feedback system; functional connectivity; functional neuroimaging; human; maladjustment; nerve cell plasticity; neurorehabilitation; phantom pain; sensorimotor cortex; electrotherapy; motor cortex; nerve cell plasticity; pathophysiology; phantom limb; physiology
