Authors,Article Title,Source Title,Author Keywords,Keywords Plus,"Times Cited, WoS Core","Times Cited, All Databases",Publisher,Publisher City,Publication Year,DOI Link,Research Areas
"O'Doherty, JE; Lebedev, MA; Ifft, PJ; Zhuang, KZ; Shokur, S; Bleuler, H; Nicolelis, MAL",Active tactile exploration using a brain-machine-brain interface,NATURE,,CORTICAL CONTROL; CORTEX; ARM; NEURONS; STIMULATION; GRIP; SKIN,456,567,NATURE PUBLISHING GROUP,LONDON,2011,http://dx.doi.org/10.1038/nature10489,Science & Technology - Other Topics
"Flesher, SN; Downey, JE; Weiss, JM; Hughes, CL; Herrera, AJ; Tyler-Kabara, EC; Boninger, ML; Collinger, JL; Gaunt, RA",A brain-computer interface that evokes tactile sensations improves robotic arm control,SCIENCE,,CORTICAL CONTROL; MOTOR; PERFORMANCE; REPRESENTATION; RESTORATION; STIMULATION; TETRAPLEGIA; EXPERIENCE; PRIORITIES,393,484,AMER ASSOC ADVANCEMENT SCIENCE,WASHINGTON,2021,http://dx.doi.org/10.1126/science.abd0380,Science & Technology - Other Topics
"Kao, JC; Nuyujukian, P; Ryu, SI; Churchland, MM; Cunningham, JP; Shenoy, KV",Single-trial dynamics of motor cortex and their applications to brain-machine interfaces,NATURE COMMUNICATIONS,,CORTICAL CONTROL; TRANSIENT DYNAMICS; FEEDBACK-CONTROL; SPIKING ACTIVITY; NEURAL-CONTROL; ARM; ENSEMBLE; PREMOTOR; HUMANS; MODELS,136,190,NATURE PUBLISHING GROUP,LONDON,2015,http://dx.doi.org/10.1038/ncomms8759,Science & Technology - Other Topics
"Tan, D; Nijholt, A",Brain-Computer Interfaces and Human-Computer Interaction,BRAIN-COMPUTER INTERFACES: APPLYING OUR MINDS TO HUMAN-COMPUTER INTERACTION,,COMMUNICATION,136,164,SPRINGER,DORDRECHT,2010,http://dx.doi.org/10.1007/978-1-84996-272-8_1,Computer Science
"Makin, TR; Flor, H",Brain (re)organisation following amputation: Implications for phantom limb pain,NEUROIMAGE,Neuroimaging; Cortical reorganisation; Phantom limb pain; Preserved function; Multivariate analysis; Pain treatment; Use-dependent plasticity,PRIMARY SOMATOSENSORY CORTEX; LARGE-SCALE REORGANIZATION; PRIMARY MOTOR CORTEX; CORTICAL REORGANIZATION; SOMATOTOPIC ORGANIZATION; SENSORIMOTOR CORTEX; MIRROR THERAPY; TOPOGRAPHIC REORGANIZATION; HAND REPRESENTATION; DIGIT SOMATOTOPY,125,147,ACADEMIC PRESS INC ELSEVIER SCIENCE,SAN DIEGO,2020,http://dx.doi.org/10.1016/j.neuroimage.2020.116943,"Neurosciences & Neurology; Radiology, Nuclear Medicine & Medical Imaging"
"Schwemmer, MA; Skomrock, ND; Sederberg, PB; Ting, JE; Sharma, G; Bockbrader, MA; Friedenberg, DA",Meeting brain-computer interface user performance expectations using a deep neural network decoding framework,NATURE MEDICINE,,MACHINE INTERFACES; MUSCLE STIMULATION; POTENTIAL USERS; WANT OPINIONS; PRIORITIES; TETRAPLEGIA; COMMUNICATION; MOVEMENTS; RELEASE; GRASP,123,145,NATURE PORTFOLIO,BERLIN,2018,http://dx.doi.org/10.1038/s41591-018-0171-y,Biochemistry & Molecular Biology; Cell Biology; Research & Experimental Medicine
"Jin, J; Chen, ZM; Xu, R; Miao, YY; Wang, XY; Jung, TP",Developing a Novel Tactile P300 Brain-Computer Interface With a Cheeks-Stim Paradigm,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,Electroencephalography; Electrodes; Visualization; Feature extraction; Wrist; Vibrations; Band-pass filters; Brain-computer interface (BCI); cheeks; P300; vibrotactile stimuli,BCI; SSVEP; REPRESENTATION; PROSTHESIS; MOTOR,101,107,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,PISCATAWAY,2020,http://dx.doi.org/10.1109/TBME.2020.2965178,Engineering
"Shimoda, K; Nagasaka, Y; Chao, ZC; Fujii, N",Decoding continuous three-dimensional hand trajectories from epidural electrocorticographic signals in Japanese macaques,JOURNAL OF NEURAL ENGINEERING,,BRAIN-COMPUTER-INTERFACE; MOTOR CORTEX STIMULATION; CORTICAL STIMULATION; FINGER MOVEMENTS; NEUROPATHIC PAIN; TISSUE-RESPONSE; COMPLICATIONS; EEG; REPRESENTATION; REMOVAL,90,103,IOP PUBLISHING LTD,BRISTOL,2012,http://dx.doi.org/10.1088/1741-2560/9/3/036015,Engineering; Neurosciences & Neurology
"Marchesotti, S; Bassolino, M; Serino, A; Bleuler, H; Blanke, O",Quantifying the role of motor imagery in brain-machine interfaces,SCIENTIFIC REPORTS,,COMPUTER INTERFACE; MENTAL PRACTICE; WORKING-MEMORY; MOVEMENT; CORTEX; CLASSIFICATION; TRIAL; REAL; EXCITABILITY; PERFORMANCE,85,94,NATURE PORTFOLIO,BERLIN,2016,http://dx.doi.org/10.1038/srep24076,Science & Technology - Other Topics
"Johnson, LA; Wander, JD; Sarma, D; Su, DK; Fetz, EE; Ojemann, JG",Direct electrical stimulation of the somatosensory cortex in humans using electrocorticography electrodes: a qualitative and quantitative report,JOURNAL OF NEURAL ENGINEERING,,TRANSCRANIAL MAGNETIC STIMULATION; THETA-BURST STIMULATION; MOTOR CORTEX; EVOKED POTENTIALS; SENSORIMOTOR CORTEX; PAIN THRESHOLDS; PERCEPTION; MICROSTIMULATION; BRAIN; REPRESENTATION,79,110,IOP PUBLISHING LTD,BRISTOL,2013,http://dx.doi.org/10.1088/1741-2560/10/3/036021,Engineering; Neurosciences & Neurology
