"keyword","n_articles"
"BCI",101
"EEG",49
"motor_imagery",36
"gender_sex",30
"pain",21
"rehabilitation",17
"spinal_cord_injury",17
"male",16
"motor_cortex",15
"age_demographic",14
"pain_outcomes",11
"neuropathic_pain",10
"neurorehabilitation",10
"phantom_limb",10
"virtual_reality",9
"stroke",8
"FES",7
"demographic_representation",7
"motor_function_recovery",7
"neural_network",7
"ECoG",6
"cortical_control",6
"fNIRS",6
"functional_connectivity",6
"neurofeedback",6
"neuroprosthetics",6
"tetraplegia",6
"article",5
"hand",5
"machine_learning",5
"magnetoencephalography",5
"neuromodulation",5
"EMG",4
"artificial_intelligence",4
"brain",4
"brain_depth_stimulation",4
"brain_plasticity",4
"electrical_stimulation",4
"fMRI",4
"recovery",4
"signal_processing",4
"stimulation",4
"DBS",3
"P300",3
"activation",3
"amputee",3
"arm",3
"communication",3
"cortex",3
"deep_learning",3
"functional_mri",3
"locked_in_syndrome",3
"machine_interfaces",3
"modulation",3
"motor",3
"neuroplasticity",3
"neuroprosthesis",3
"parkinsons",3
"pathophysiology",3
"perception",3
"physiology",3
"quadriplegia",3
"restoration",3
"sensory_feedback",3
"somatosensory",3
"somatosensory_cortex",3
"CNN",2
"CSP",2
"LSTM",2
"SSVEP",2
"TMS",2
"adult",2
"anterior_cingulate_cortex",2
"body_schema",2
"brachial_plexus_injury",2
"brain_networks",2
"classification",2
"classification_accuracy",2
"clinical_article",2
"clinical_trials",2
"cognition",2
"computer_interface",2
"electrical_stimulations",2
"electrophysiology",2
"electrotherapy",2
"feature_extraction",2
"grasp",2
"guillain_barre_syndrome",2
"hands",2
"information",2
"interfaces_computer",2
"intracortical_microstimulation",2
"machine_interface",2
"microstimulation",2
"mrcp",2
"muscle",2
"neuronal_plasticity",2
"neurons",2
"prediction",2
"prefrontal_cortex",2
"premotor",2
"priorities",2
"priority_journal",2
"real",2
"review",2
"robotic_arm",2
"robotics",2
"sacral_nerve_stimulation",2
"sensorimotor_plasticity",2
"signals",2
"sparsity_based_classification",2
"stroke_rehabilitation",2
"support_vector_machine",2
"system",2
"tDCS",2
"tactile",2
"visualization",2
"wrist",2
"action_observation",1
"adaptation",1
"adaptive_brain_reading_interface",1
"affective_component",1
"ain_computer_interface_bet",1
"algorithm",1
"als_amyotrophic_lateral_sclerosis",1
"amplitude_modulation",1
"amplitude_modulator",1
"amyotrophic_lateral_sclerosis",1
"analgesia",1
"animals",1
"arithmetic_tasks",1
"arm_amputation",1
"artificial_limb_control",1
"artificial_vision",1
"assistive_devices",1
"audition",1
"augmented_reality",1
"avulsion_injury",1
"b_0_field",1
"backpropagation",1
"band_pass_filters",1
"basic_needs",1
"bereitschaftspotential",1
"bibliometric",1
"bidirectional",1
"bio_inspired_design",1
"bioelectric_medicine",1
"biomechanics",1
"bodily_experience",1
"body_ownership",1
"bold_signal",1
"brachial_plexus_neuropathies",1
"brain_computer_interfirce",1
"brain_controlled_prosthesis",1
"brain_cortex",1
"brain_machine_computer_interface",1
"brain_modeling",1
"brain_somatosensory_evoked_response",1
"brain_to_brain_interface",1
"brainwaves",1
"burden",1
"calculations",1
"canonical_correlation_analysis_cca",1
"cbda",1
"cells",1
"central_gait_pattern_generator",1
"central_nervous_system_injury",1
"central_nervous_systems",1
"cerebral_responses",1
"cerebrovascular_accident",1
"cervical_spinal_cord",1
"cervical_spine_fusion_anomalies",1
"cheeks",1
"circuit_based_neural_signature",1
"citespace",1
"classification_of_information",1
"classifier_learning_vector_quantizatio",1
"closed_loop",1
"closed_loop_control",1
"clustered_features",1
"co_space_algorithm",1
"cochlear_implants",1
"cognitive_task",1
"cognitive_tasks",1
"coherence_based_graph_convolutional_network",1
"complications",1
"computer_aided_diagnosis",1
"computer_games",1
"computer_interfaces",1
"computer_system",1
"computer_vision",1
"connectivity",1
"control_wheelchair",1
"controlled_study",1
"cortex_activity",1
"cortex_neurons",1
"cortical_activation",1
"cortical_activity",1
"cortical_stimulation",1
"corticomotor_excitability",1
"cross_disciplinary_research",1
"cross_over_studies",1
"cross_translational_research",1
"crossover_procedure",1
"cutaneous_sensation",1
"cyton_board",1
"daily_life_activity",1
"dataset",1
"decoding",1
"default_mode",1
"deisy_board",1
"depolarization",1
"depression",1
"diagnosis",1
"differential_gene_expression",1
"direct_cortical_electrical_stimulation",1
"disease_control",1
"distortion",1
"domain_feature",1
"dopamine_raclopride",1
"dynamic_programming",1
"dynamical_systems",1
"dynamics",1
"editorial",1
"eegnetv4",1
"electric_stimulation_therapy",1
"electrical_activities",1
"electrical_stimulators",1
"electrical_thermal_coupled_field_analysis",1
"electrode_implant",1
"electrodes",1
"electrodes_implanted",1
"electrostimulation",1
"elon_musk",1
"emotion",1
