Authors,Article Title,Publication Year,Author Keywords,Keywords Plus,"Times Cited, WoS Core","Times Cited, All Databases",DOI Link,Research Areas,Intern Assigned
"O'Doherty, JE; Lebedev, MA; Ifft, PJ; Zhuang, KZ; Shokur, S; Bleuler, H; Nicolelis, MAL",Active tactile exploration using a brain-machine-brain interface,2011,,CORTICAL CONTROL; CORTEX; ARM; NEURONS; STIMULATION; GRIP; SKIN,451,561,http://dx.doi.org/10.1038/nature10489,Science & Technology - Other Topics,
"Flesher, SN; Downey, JE; Weiss, JM; Hughes, CL; Herrera, AJ; Tyler-Kabara, EC; Boninger, ML; Collinger, JL; Gaunt, RA",A brain-computer interface that evokes tactile sensations improves robotic arm control,2021,,CORTICAL CONTROL; MOTOR; PERFORMANCE; REPRESENTATION; RESTORATION; STIMULATION; TETRAPLEGIA; EXPERIENCE; PRIORITIES,370,452,http://dx.doi.org/10.1126/science.abd0380,Science & Technology - Other Topics,
"Brouwer, AM; van Erp, JBF",A tactile P300 brain-computer interface,2010,BCI; BMI; tactile; P300; somatosensory,,211,228,http://dx.doi.org/10.3389/fnins.2010.00019,Neurosciences & Neurology,
"Halder, S; Agorastos, D; Veit, R; Hammer, EM; Lee, S; Varkuti, B; Bogdan, M; Rosenstiel, W; Birbaumer, N; Kübler, A",Neural mechanisms of brain-computer interface control,2011,,SUPPLEMENTARY MOTOR AREA; CYTOARCHITECTONIC MAPS; MENTAL PRACTICE; FOOT MOVEMENTS; MU-RHYTHMS; IMAGERY; EEG; FMRI; ACTIVATION; CORTEX,133,157,http://dx.doi.org/10.1016/j.neuroimage.2011.01.021,"Neurosciences & Neurology; Radiology, Nuclear Medicine & Medical Imaging",
"Tan, D; Nijholt, A",Brain-Computer Interfaces and Human-Computer Interaction,2010,,COMMUNICATION,132,159,http://dx.doi.org/10.1007/978-1-84996-272-8_1,Computer Science,
"Makin, TR; Flor, H",Brain (re)organisation following amputation: Implications for phantom limb pain,2020,Neuroimaging; Cortical reorganisation; Phantom limb pain; Preserved function; Multivariate analysis; Pain treatment; Use-dependent plasticity,PRIMARY SOMATOSENSORY CORTEX; LARGE-SCALE REORGANIZATION; PRIMARY MOTOR CORTEX; CORTICAL REORGANIZATION; SOMATOTOPIC ORGANIZATION; SENSORIMOTOR CORTEX; MIRROR THERAPY; TOPOGRAPHIC REORGANIZATION; HAND REPRESENTATION; DIGIT SOMATOTOPY,116,137,http://dx.doi.org/10.1016/j.neuroimage.2020.116943,"Neurosciences & Neurology; Radiology, Nuclear Medicine & Medical Imaging","Chandrika, Chelsea"
"Kim, SP; Simeral, JD; Hochberg, LR; Donoghue, JP; Friehs, GM; Black, MJ",Point-and-Click Cursor Control With an Intracortical Neural Interface System by Humans With Tetraplegia,2011,Amyotrophic lateral sclerosis; human motor cortex; intracortical neural interface system; multi-state decoding; point-and-click control; quadriplegia; stroke,BRAIN-COMPUTER INTERFACE; ELECTROCORTICOGRAPHIC SIGNALS; CORTICAL REPRESENTATION; STATE; KINEMATICS; MOVEMENTS; DIRECTION; ARM,116,150,http://dx.doi.org/10.1109/TNSRE.2011.2107750,Engineering; Rehabilitation,
"Jin, J; Chen, ZM; Xu, R; Miao, YY; Wang, XY; Jung, TP",Developing a Novel Tactile P300 Brain-Computer Interface With a Cheeks-Stim Paradigm,2020,Electroencephalography; Electrodes; Visualization; Feature extraction; Wrist; Vibrations; Band-pass filters; Brain-computer interface (BCI); cheeks; P300; vibrotactile stimuli,BCI; SSVEP; REPRESENTATION; PROSTHESIS; MOTOR,99,105,http://dx.doi.org/10.1109/TBME.2020.2965178,Engineering,
"Shimoda, K; Nagasaka, Y; Chao, ZC; Fujii, N",Decoding continuous three-dimensional hand trajectories from epidural electrocorticographic signals in Japanese macaques,2012,,BRAIN-COMPUTER-INTERFACE; MOTOR CORTEX STIMULATION; CORTICAL STIMULATION; FINGER MOVEMENTS; NEUROPATHIC PAIN; TISSUE-RESPONSE; COMPLICATIONS; EEG; REPRESENTATION; REMOVAL,89,102,http://dx.doi.org/10.1088/1741-2560/9/3/036015,Engineering; Neurosciences & Neurology,
"Johnson, LA; Wander, JD; Sarma, D; Su, DK; Fetz, EE; Ojemann, JG",Direct electrical stimulation of the somatosensory cortex in humans using electrocorticography electrodes: a qualitative and quantitative report,2013,,TRANSCRANIAL MAGNETIC STIMULATION; THETA-BURST STIMULATION; MOTOR CORTEX; EVOKED POTENTIALS; SENSORIMOTOR CORTEX; PAIN THRESHOLDS; PERCEPTION; MICROSTIMULATION; BRAIN; REPRESENTATION,79,109,http://dx.doi.org/10.1088/1741-2560/10/3/036021,Engineering; Neurosciences & Neurology,
